classifier,accuracy,precision,recall,f1-score,support
Decision Tree,0.6239281339322172,0.6239007315553778,0.6239281339322172,0.6236953477754075,4898.0
kNN,0.49469171090240915,0.48099265719110845,0.49469171090240915,0.48283706835509904,4898.0
SVM,0.4499795835034708,0.33887435005685523,0.4499795835034708,0.3118852251998815,4898.0
