dataset,best_classifier,accuracy_mean,f1_mean
diabetes,SVM,0.7643882433356117,0.7489589660174978
iris,SVM,0.9600000000000002,0.9597306397306398
winequality,Decision Tree,0.6284236884938024,0.6289040721224771
zoo,Decision Tree,0.9600000000000002,0.9566666666666668
