classifier,accuracy,precision,recall,f1-score,support
Decision Tree,0.94,0.9409875551987155,0.94,0.9399459513562207,150.0
kNN,0.9533333333333334,0.9534480458850206,0.9533333333333334,0.9533286661999534,150.0
SVM,0.96,0.96,0.96,0.96,150.0
