classifier,accuracy,precision,recall,f1-score,support
Decision Tree,0.69140625,0.6890800295454028,0.69140625,0.6901474843110299,768.0
kNN,0.7356770833333334,0.728251078221637,0.7356770833333334,0.7292556893297863,768.0
SVM,0.765625,0.7598847303320319,0.765625,0.7571381320174497,768.0
